인구이동_기점,인구이동_종점,0세_19세 일평균 관내이동 인구,20세_39세 일평균 관내이동 인구,40세_64세 일평균 관내이동 인구,65세 이상 일평균 관내이동 인구,남성_일평균 관내이동 인구,여성_일평균 관내이동 인구,2020년 1월_일평균 관내이동 인구,2020년 2월_일평균 관내이동 인구,2020년 3월_일평균 관내이동 인구,2020년 4월_일평균 관내이동 인구,2020년 5월_일평균 관내이동 인구,2020년 6월_일평균 관내이동 인구,2020년 7월_일평균 관내이동 인구,2020년 8월_일평균 관내이동 인구,2020년 9월_일평균 관내이동 인구,2020년 10월_일평균 관내이동 인구,2020년 11월_일평균 관내이동 인구,2020년 12월_일평균 관내이동 인구,주중_새벽(0시_6시)_일평균 관내이동 인구,주중_출근(7시_9시)_일평균 관내이동 인구,주중_주간(10시_17시)_일평균 관내이동 인구,주중_퇴근(18시_20시)_일평균 관내이동 인구,주중_야간(21시_23시)_일평균 관내이동 인구,주말_첨두시(11시_19시)_일평균 관내이동 인구,주말_비첨두시(20시_10시)_일평균 관내이동 인구,데이터기준일자
고등동,곡선동,11.01,100.5,136.47,14.8,111.25,151.53,205.09,214.38,179.47,195.92,354.99,345.71,355.99,242.64,296.85,267.1,289.48,205.12,34.48,44.55,151.77,27.01,27.35,160.49,163.02,2021-11-30
고등동,광교1동,5.62,108.76,212.28,35.22,211.08,150.8,378.08,406.37,401.85,456.42,353.43,360.45,339.83,292.85,314.41,371.48,368.82,303.13,36.26,64.87,235.15,38.09,35.74,93.45,109,2021-11-30
고등동,광교2동,4.73,31.65,37.01,16.38,52.97,36.8,106.35,85.52,82.22,124.18,104.34,113.06,77.31,58.34,112.27,90.66,66.78,56.74,10.39,19.41,62.58,6.12,6.6,24.39,49.29,2021-11-30
고등동,구운동,18.4,159.72,281.83,28.03,260.62,227.36,609.4,484.06,538.39,579,456.57,338.8,380.81,556.25,506.26,447.92,480.47,475.95,44.79,62.34,266.39,54.5,74.1,380.85,529.45,2021-11-30
고등동,권선1동,32.42,167.53,293.49,65.55,242.33,316.65,445.57,440.53,549.09,614.31,506.13,577.96,577.83,556.25,511.33,646.42,716.54,554.4,50.83,86.21,328.61,62.73,70.95,203.71,329.01,2021-11-30
고등동,권선2동,3.1,44.58,97.63,12.22,86.39,71.15,152.44,132.4,125.44,172.03,151.31,178.49,158.62,162.16,168.99,179.7,166.78,142.33,11.59,22.19,94.58,19.59,17.06,88.88,155.11,2021-11-30
고등동,금곡동,46.95,191.24,355.99,37.03,362.95,268.25,751.68,537.03,555.5,608.97,668.88,700.06,737.2,548.36,526.92,632.45,616.19,682.85,87.84,86.57,310.43,67.56,104.6,1129.33,1374.7,2021-11-30
고등동,망포1동,0.68,74.05,100.33,46.42,82.9,138.57,197.89,129.53,134.76,156.16,129.06,235.54,273.7,236.96,241.6,306.68,293.05,318.11,23.92,44.4,138.01,22.84,23.14,99,142.91,2021-11-30
고등동,망포2동,0.14,27.1,20.55,11.62,28.05,31.37,51.25,30.95,54.6,42.14,53.39,65.24,61.4,64.51,70.48,68.86,76.37,71.64,7.75,10.31,35.18,5.65,7.16,25.94,54.31,2021-11-30
고등동,매교동,11.86,171.28,309.17,81.13,275.02,298.42,537.86,451.88,536.68,543.34,546.97,566.8,567.6,628.69,600.25,666.42,662.9,566.6,58.53,76.14,294.56,71.55,107.06,214.94,239.66,2021-11-30
고등동,매산동,446.25,3837.53,6134.54,1367.42,5601.57,6184.17,13590.86,10975.34,10062.65,10482.32,10860.24,11804.87,12284.19,13635.59,10820.68,12588.92,12628.08,11597.45,1873.31,1011.57,4220.42,1618.07,2927.31,6516.79,4793.17,2021-11-30
고등동,매탄1동,0.72,9.54,48.78,4.76,26.04,37.76,47.32,32.86,34.67,48.81,54.21,80.12,73.43,106.19,33.12,56.68,91.99,104.23,5.91,6.27,36.17,9.34,7.75,54.08,81.7,2021-11-30
고등동,매탄2동,20.91,58.38,150.49,49.67,164.15,115.3,216.53,225.38,293.13,219.21,262.97,457.45,215.69,214.18,265.9,353.19,353.97,278.04,37.49,55.6,179.79,22.97,25.74,156.2,183.61,2021-11-30
고등동,매탄3동,33.65,114.23,254.63,39.18,209.22,232.47,465.59,453.43,395.6,391.75,506.28,434.4,412.96,441.19,374.17,400.73,493.09,529.52,51.22,68.66,263.91,43.02,54.69,136.66,219.54,2021-11-30
고등동,매탄4동,0.07,3.09,31.08,1.54,12.35,23.43,24.8,35.52,37.23,37.85,43.71,33.52,44.16,63.42,47.5,13.29,22.88,19.2,4.23,5.53,15.15,3.49,4.74,52.21,84.67,2021-11-30
고등동,서둔동,56.77,502.17,899.75,108.95,712.14,855.5,1264.78,1039.38,1202.56,1710.29,1594.15,1599.54,1583.59,1631.88,1654.1,1814.85,1837.47,1862.09,198.95,176.01,645,200.48,347.18,1109.82,1182.59,2021-11-30
고등동,세류1동,6.23,65.51,102.2,53.39,90.34,136.98,237.5,240.17,164.09,191.23,208.54,251.57,241.99,302.29,192.46,246.99,244.9,206.03,32.09,28.96,99.01,32.08,45.06,124.16,192.4,2021-11-30
고등동,세류2동,7.03,79.47,196.33,23.4,132.95,173.29,305.44,216.34,203.99,295.69,319.26,344.1,368.15,351.74,320.83,364.6,347.38,234.18,47.72,49.03,137.62,37.41,43.2,236.86,289.07,2021-11-30
고등동,세류3동,8.12,53.14,91.16,49.69,96.44,105.66,194.99,135.12,231.29,194.7,247.05,226.52,307.01,167.79,161.45,206.3,185.87,161.58,27.47,25.88,96.74,24.51,32.89,166.79,252.57,2021-11-30
고등동,송죽동,5.93,34.73,62.35,16.62,49.66,69.97,99.96,76.59,146.71,118.76,120.78,133.8,149.41,113.67,106.24,124.16,136.11,107.1,9.23,18.87,74.34,13.29,16.4,104.33,164.42,2021-11-30
고등동,연무동,16.37,57.84,173.13,33.51,152.63,128.23,220.17,210.72,225.42,335.73,283.75,335.91,323.19,337,293.12,332.92,248.65,222.08,21.97,33.37,165.97,29.23,27.73,121.51,158.92,2021-11-30
고등동,영통1동,0.23,12.91,11.68,3.22,10.97,17.06,36.57,32.49,14.15,31.38,21.66,19.54,24.09,19.66,24.23,42.15,42.51,25.87,1.79,3.78,16.91,2.54,3.26,32.95,77.33,2021-11-30
고등동,영통2동,1.19,47.7,73.82,59.6,108.07,74.24,189.22,164.5,155.05,203.49,170.42,192,185.95,156.02,178.53,199.33,196.14,197.73,15.16,39.3,125.11,17.55,19.28,45.96,81.01,2021-11-30
고등동,영통3동,1.07,118.59,90.9,49.23,113.91,145.88,336.88,234.55,196.88,185.85,189.11,223.87,332.72,260.65,207.89,329.62,296.1,317.68,32.22,42.96,160.84,24.06,24.24,82.18,108.27,2021-11-30
고등동,영화동,60.75,168.55,385.89,103.95,402.61,316.53,704.96,604.86,669.82,614.08,656.86,767.64,782.44,742.44,702.36,865.18,749.75,760.49,59.54,95.54,430.03,80.53,93.01,398.1,540.04,2021-11-30
고등동,우만1동,13.21,94.68,108.81,17.94,90.14,144.51,172.73,193.3,182,267.9,297.49,301.04,250.65,273.73,205.61,281.32,236.59,153.08,31.31,37.29,132.33,19.84,25.76,119.81,149.51,2021-11-30
고등동,우만2동,2.38,28.28,72.11,34.13,64.03,72.86,146.61,104.38,66.14,88.77,120.09,130.07,209.18,148.3,138.32,148.75,196.59,143.62,20.9,19.73,73.99,14.92,15.8,57.71,80.76,2021-11-30
고등동,원천동,5.05,72.33,148.35,35.95,121.72,139.97,285.72,257.7,178.62,287.5,263.07,286.56,240.89,241,232.68,320.54,242.76,303.02,28.79,49.83,158.08,23.84,24.48,78.69,125.96,2021-11-30
고등동,율천동,14.56,100.64,209.67,39.47,165.06,199.28,467.07,331.56,330.02,297.57,335.22,334.04,312.79,285.31,365.92,372.45,409.2,527.14,30.38,52.27,213.16,46.69,54.37,244.04,346.74,2021-11-30
고등동,인계동,41.67,298.76,498.18,135.01,457.72,515.9,1177.86,924.4,872.17,1017.27,1033.41,989.51,1033.2,890.8,721.04,1113.08,1047.38,856.25,92.5,135.85,571.87,103.98,124.51,266.06,347.6,2021-11-30
고등동,입북동,22.5,78.01,134.07,14.05,110.77,137.87,213.83,187.91,217.25,204.23,313.62,259.59,293.49,252.15,283.04,227.11,270.93,257.38,29.92,34.23,118.74,32.3,48.53,315.35,350.7,2021-11-30
고등동,정자1동,19.68,17.3,104.23,55.82,116.2,80.83,242.49,288.42,182.94,162.68,148.74,193.77,228.01,158.06,212.48,216.45,170.99,163.62,11.67,31.57,133.3,24.1,21.57,134.47,220.02,2021-11-30
고등동,정자2동,18.75,58.02,176.46,32.42,139.23,146.42,259.57,206,224.76,389.95,227.44,250.35,249.16,203.36,289.04,372.04,373.42,382.72,27.63,39.13,170.81,25.89,31.42,222.64,355.38,2021-11-30
고등동,정자3동,40.47,49.92,138.69,39.65,145.19,123.54,268.35,218.97,235.61,243.55,240.85,307.91,273.71,264.19,240.63,267.55,344.56,317.65,22.04,40.98,151.58,33.45,37.29,216.42,347.09,2021-11-30
고등동,조원1동,13.84,59.93,190.82,38.99,139.83,163.75,261.92,233.32,267.86,344.81,271.19,301.61,281.4,281.64,313.76,334.4,343.13,406.3,27.98,38.69,173.05,32.92,43.15,290.31,403.71,2021-11-30
고등동,조원2동,3.65,26.75,65.41,7.93,75.21,28.53,128.94,101.11,91.43,87.79,86.19,99.83,97.39,97.23,93.37,106.64,91.73,161.77,8.02,16.23,60.9,11.46,12.09,15.19,29.45,2021-11-30
고등동,지동,4.65,53.33,120.4,76.05,151.59,102.84,258.43,278.37,150.98,243.89,274.82,297.09,244.19,203.64,287.58,246.26,302.77,270.32,36.63,45.2,136.69,24.43,30.84,107.35,127.79,2021-11-30
고등동,파장동,9.01,87.41,179.51,25.86,203.27,98.52,334.99,331.62,275.83,237.44,231.04,295.98,321.07,251.58,318.66,311.75,327.31,385.25,21.04,45.28,183.72,36.37,32.74,205.47,276.52,2021-11-30
