인구이동_기점,인구이동_종점,0세_19세 일평균 내부이동 인구,20세_39세 일평균 내부이동 인구,40세_64세 일평균 내부이동 인구,65세 이상 일평균 내부이동 인구,남성_일평균 내부이동 인구,여성_일평균 내부이동 인구,2020년 1월_일평균 내부이동 인구,2020년 2월_일평균 내부이동 인구,2020년 3월_일평균 내부이동 인구,2020년 4월_일평균 내부이동 인구,2020년 5월_일평균 내부이동 인구,2020년 6월_일평균 내부이동 인구,2020년 7월_일평균 내부이동 인구,2020년 8월_일평균 내부이동 인구,2020년 9월_일평균 내부이동 인구,2020년 10월_일평균 내부이동 인구,2020년 11월_일평균 내부이동 인구,2020년 12월_일평균 내부이동 인구,주중_새벽(0시_6시)_일평균 내부이동 인구,주중_출근(7시_9시)_일평균 내부이동 인구,주중_주간(10시_17시)_일평균 내부이동 인구,주중_퇴근(18시_20시)_일평균 내부이동 인구,주중_야간(21시_23시)_일평균 내부이동 인구,주말_첨두시(11시_19시)_일평균 내부이동 인구,주말_비첨두시(20시_10시)_일평균 내부이동 인구,데이터기준일자
고등동,고등동,4305.58,19808.82,36689.55,10700.5,35637.14,35867.29,67398.01,70511.85,69924.73,70702.76,69140.86,68402.87,69887.84,70675.86,70775.59,71079.06,75135.62,84321.87,31086.29,8674,15174.48,3871.14,11052.79,54935.42,20715.01,2021-11-30
곡선동,곡선동,41290.47,146353.99,159535.19,18584.76,182644.67,183119.74,341645.1,367347.5,376330.77,373122.9,362617.61,358558,354608.34,369824.42,379110.01,361911.3,360514.58,383950.63,143651.02,41500.69,82659.6,25226.51,64298.97,267382.34,119613.18,2021-11-30
광교1동,광교1동,101330.01,137368.65,212746.79,24795.11,260542.07,215698.49,442019.79,479885.32,499002.66,508802.54,496387.84,483647.11,456112.96,464685.76,476120.69,464532.58,463321.2,481472.17,179252.93,56557.4,113849.87,33255.14,83202.71,343124.9,158616.63,2021-11-30
광교2동,광교2동,26679.98,59580.32,82253.49,15960.89,104986.08,79488.6,165264.04,177978.73,182605.11,179114.54,172436.03,171498.46,181860.75,205885.6,208179.37,190347.64,183084.81,195150.32,76911.63,21692.11,38285.45,11104.23,31524.32,140747.03,56215.33,2021-11-30
구운동,구운동,35200.9,102701.1,147162.59,30777.02,164269.14,151572.48,319274.98,334799.35,333257.35,326571.37,322706.12,310359.8,303095.31,312176.26,306755.76,299717.03,301601.22,320424.79,126750.64,36587.88,70555.76,20444.31,53316.27,235105.91,101360,2021-11-30
권선1동,권선1동,43817.32,170878.22,200807.9,39674.77,237137.41,218040.8,448724.62,470704.48,472945.33,468394.73,447917.46,437720.09,430070.63,446112.41,443591.79,441984.71,462174.75,492514.42,182938.8,54036.44,102588.52,29180.39,76411.34,335525.46,144902.34,2021-11-30
권선2동,권선2동,60848.23,112009.85,171970.98,27622.35,204071.59,168379.82,357445.91,380191.98,389426.72,384687.68,371446.98,360614.58,358033.25,371072.22,376617.15,364177.39,364301.24,391785.6,146074.55,42703.76,84044.75,25218.55,64926.4,274963.3,121378.99,2021-11-30
금곡동,금곡동,101665.04,227058.38,320859.43,56895.23,389220.35,317257.73,688431.99,721080.93,734357.99,719720.13,689031.03,675182.21,666411.99,699259.84,717512.65,699842.27,716039.27,751890.81,274105.4,81186.18,163991.08,48798.2,122254.23,515978.88,231167.17,2021-11-30
망포1동,망포1동,75620.39,151696.4,194351.66,25565.43,239834.16,207399.73,452152.37,473767.46,487033.1,472486.92,440649.34,424344.62,411285.66,431804.99,441288.2,426896.24,436621.32,469730.44,180515.32,51495.44,98170.17,29565.82,77082.13,331443.13,142003.39,2021-11-30
망포2동,망포2동,28544.22,64953.08,75607.98,8422.73,98551.31,78976.7,144522.9,163526.48,170073.86,177108.31,189583.31,183943.09,182062.36,197720.08,189278.61,168734.01,169217.49,193966.66,76585.35,20932.6,35732.44,10062.45,29129.66,137262.7,53076.86,2021-11-30
