일련번호,관할구청,관할경찰,시설유형,시설명,소재지도로명주소,소재지지번주소,법정동,행정동,고시 구간,연장(m),지정속도,고시일,고시번호,위도,경도,차로수,차로운영,보도 설치현황,보도연장_A측변(m),보도연장_B측변(m),보행자 방호울타리_A측변(m),보행자 방호울타리_B측변(m),무단횡단 방지시설(m),횡단보도 유형,보행신호 운영 ,신호 및 과속단속 CCTV(개),노상주차장(면),주정차단속 CCTV(개),과속방지턱(개),미끄럼 방지포장_A방향(개),미끄럼 방지포장_B방향(개),미끄럼 방지포장_합계(개),시점부 보호구역 통합표지_A방향(개),시점부 보호구역 통합표지_B방향(개),시점부 보호구역 통합표지_합계(개),중간부 보호구역 통합표지_A방향(개),중간부 보호구역 통합표지_B방향(개),중간부 보호구역 통합표지_합계(개),종점부 보호구역 통합표지_A방향(개),종점부 보호구역 통합표지_B방향(개),종점부 보호구역 통합표지_합계(개),어린이 보호주의 표지판_A방향(개),어린이 보호주의 표지판_B방향(개),어린이 보호주의 표지판_합계(개),어린이 보호지시 표지판_A방향(개),어린이 보호지시 표지판_B방향(개),어린이 보호지시 표지판_합계(개),제한속도 표지판_A방향(개),제한속도 표지판_B방향(개),제한속도 표지판_합계(개),주정차 금지 표지판_A방향(개),주정차 금지 표지판_B방향(개),주정차 금지 표지판_합계(개),어린이 보호구역 노면표시_A방향(개),어린이 보호구역 노면표시_B방향(개),어린이 보호구역 노면표시_합계(개),제한속도 노면표시_A방향(개),제한속도 노면표시_B방향(개),제한속도 노면표시_합계(개),데이터 기준일자
초1-1,권선구,서부,초등학교,가온초교,경기도 수원시 권선구 금곡로73번길 36,경기도 수원시 권선구 금곡동 1079번지,금곡동,금곡동,1구간,475,30km,2014-12-31,제2014-342호,37.274618,126.936837,2~5차로,양방,양측,393,342,182,192,0,일반형+고원형,운영+미운영,0,0,0,6,1,1,2,1,1,2,2,1,3,0,1,1,0,0,0,0,0,0,0,2,2,3,0,3,3,7,10,4,7,11,2021-11-30
초1-2,권선구,서부,초등학교,가온초교,경기도 수원시 권선구 금곡로73번길 36,경기도 수원시 권선구 금곡동 1079번지,금곡동,금곡동,2구간,240,30km,2014-12-31,제2014-342호,37.276193,126.936284,2~3차로,양방,양측,220,240,177,0,0,일반형,운영+미운영,0,0,0,2,1,1,2,0,1,1,1,1,2,1,0,1,0,0,0,1,1,2,1,2,3,4,2,6,3,4,7,3,4,7,2021-11-30
초1-3,권선구,서부,초등학교,가온초교,경기도 수원시 권선구 금곡로73번길 36,경기도 수원시 권선구 금곡동 1079번지,금곡동,금곡동,3구간,90,30km,2014-12-31,제2014-342호,37.272831,126.937861,4~5차로,양방,양측,78,90,0,14,64,일반형,운영+미운영,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,0,1,1,0,1,1,2021-11-30
초2-1,권선구,서부,초등학교,고색초교,경기도 수원시 권선구 매송고색로 681,경기도 수원시 권선구 고색동 887-59번지,고색동,평동,1구간,200,30km,2011-12-29,제2011-260호,37.251075,126.977808,2차로,양방,양측,160,141,138,42,0,일반형,운영+미운영,0,0,0,3,2,1,3,1,1,2,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,3,0,3,2,2,4,2,2,4,2021-11-30
초2-2,권선구,서부,초등학교,고색초교,경기도 수원시 권선구 매송고색로 681,경기도 수원시 권선구 고색동 887-59번지,고색동,평동,2구간,357,50km,2011-12-29,제2011-260호,37.250322,126.978992,7~8차로,양방,양측,309,337,227,52,206,일반형,운영+미운영,1,0,1,2,1,1,2,1,1,2,1,1,2,1,1,2,0,0,0,1,1,2,4,4,8,4,0,4,1,3,4,2,3,5,2021-11-30
초3-1,권선구,서부,초등학교,고현초교,경기도 수원시 권선구 고현로 12,경기도 수원시 권선구 고색동 280번지,고색동,평동,1구간,280,30km,2011-12-29,제2011-260호,37.249457,126.987351,2차로,양방,양측,191,192,185,100,0,고원형,운영+미운영,0,0,0,6,3,3,6,1,1,2,2,1,3,1,1,2,0,0,0,1,1,2,0,1,1,1,1,2,2,3,5,2,2,4,2021-11-30
초4-1,권선구,남부,초등학교,곡반초교,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1322번지,권선동,곡선동,1구간,170,30km,2009-12-17,,37.247278,127.036366,2차로,양방,양측,140,140,74,78,0,일반형,운영+미운영,0,0,0,5,3,3,6,1,1,2,1,0,1,1,1,2,0,0,0,1,1,2,2,2,4,1,2,3,1,1,2,1,1,2,2021-11-30
초4-2,권선구,남부,초등학교,곡반초교,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1322번지,권선동,곡선동,2구간,195,30km,2011-12-29,제2011-260호,37.247428,127.035771,4차로,양방,양측,195,195,22,0,0,일반형,운영,1,0,1,1,3,2,5,1,1,2,1,1,2,1,1,2,0,0,0,0,0,0,0,1,1,2,3,5,1,1,2,1,1,2,2021-11-30
초4-3,권선구,남부,초등학교,곡반초교,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1322번지,권선동,곡선동,3구간,68,30km,2015-12-31,제2015-368호,37.246485,127.040805,1차로,양방,양측,68,68,0,0,0,고원형,미운영,0,0,0,1,1,1,2,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,2021-11-30
초4-4,권선구,남부,초등학교,곡반초교,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1322번지,권선동,곡선동,4구간,68,30km,2015-12-31,제2015-368호,37.246485,127.041228,2차로,양방,양측,68,68,0,0,0,일반형,미운영,0,0,0,2,1,1,2,1,1,2,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,2,2021-11-30
초4-5,권선구,남부,초등학교,곡반초교,경기도 수원시 권선구 덕영대로1323번길 26-14,경기도 수원시 권선구 권선동 1322번지,권선동,곡선동,5구간,68,30km,2015-12-31,제2015-368호,37.246417,127.041541,1차로,양방,양측,68,68,0,0,0,고원형,미운영,0,0,0,0,1,1,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2,2021-11-30
