movieCd,userid,score
20206061,4,2
20210547,1,4
20211413,3,1
20212027,4,3
20212064,1,1
20212063,3,1
20212042,2,4
20212062,2,2
20212041,2,4
20136895,2,4
20205986,5,2
20211176,4,1
20218415,1,3
20210611,4,3
20211241,4,5
20210031,1,3
20196264,4,1
20210864,4,5
20181118,4,4
20219056,3,2
20206464,3,3
20189638,1,5
20210689,1,4
20148592,1,1
20136792,3,1
20201815,4,2
20212015,3,1
20211929,4,3
20210663,2,4
20195959,5,5
20211159,2,2
20183772,4,3
20211220,4,4
20210790,4,1
20209295,4,4
20211735,2,1
20199882,4,2
19838068,1,4
20010264,4,3
20210882,5,4
20194403,1,1
20211734,1,1
20205736,5,5
20211768,1,5
20188441,3,4
20138950,3,3
20218390,2,3
20217102,4,3
20217167,2,3
20210794,1,5
20215801,1,2
20210028,2,4
20210883,4,2
20199962,3,5
20211994,2,3
20211978,3,3
20218872,2,4
20211993,5,1
20211992,3,4
20207568,1,2
20201876,3,4
20211975,3,2
20211990,2,5
20211312,4,3
20211987,4,1
20207569,2,3
20215465,5,3
20196410,1,3
20196006,3,5
20191243,1,5
20211982,4,4
20211549,1,2
20184970,1,4
20180759,3,4
20184576,4,5
20210103,4,5
20202406,1,4
20210600,5,5
20210952,3,5
20124352,4,1
20211954,4,2
20210168,5,3
20211953,2,1
20211195,1,4
20211952,2,4
20211935,5,2
20211951,4,5
20211831,2,4
20211932,4,4
20211945,3,4
20210757,2,2
20210679,1,4
20210303,2,5
20211476,4,2
20201475,4,2
20060277,3,1
20135777,4,2
20180218,2,1
20218463,3,2
20192205,4,1
20211506,1,2
20211308,1,2
20211906,4,4
20169305,4,4
20211177,4,3
20211281,3,2
20010036,1,3
20211465,1,3
20211903,2,3
20211902,3,3
20191503,4,2
20219820,1,5
20200302,2,5
20201748,1,2
20217298,1,5
20196799,2,5
20211323,1,3
20209299,5,2
20210676,5,5
20210752,5,4
20203286,5,3
20197961,2,5
20210981,5,4
20110205,2,4
20192601,3,3
20210038,1,4
20210756,4,2
20219894,1,5
20211053,1,3
20211686,2,2
20210788,2,1
20210142,1,2
20219378,2,5
20211066,3,4
20127210,4,4
20217197,5,1
20217218,3,4
20209270,5,2
20203824,3,4
20210244,5,1
20211261,4,1
20207584,1,2
20211829,1,4
20211828,4,2
20211827,1,4
20211826,1,3
20211846,2,3
20211845,5,1
20211825,3,2
20010007,5,2
20211844,4,5
20211843,2,4
20211842,2,1
20211841,2,1
20211824,5,4
20211544,4,1
20210369,4,1
20219446,4,3
20218909,4,5
20216753,3,1
20211700,1,5
20218258,3,4
20211800,4,4
20211799,4,3
20211823,4,5
20211822,4,1
20211798,4,3
20201005,5,1
20218185,4,1
20129654,1,5
